text,template,medium_word,content_word,style_word,seed
a painting of a person in the Abstract Expressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Abstract Expressionism,0
a painting of a person in the Action painting style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Action painting,1
a painting of a person in the Analytical Cubism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Analytical Cubism,2
a painting of a person in the Art Nouveau style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Art Nouveau,3
a painting of a person in the Baroque style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Baroque,4
a painting of a person in the Color Field Painting style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Color Field Painting,5
a painting of a person in the Contemporary Realism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Contemporary Realism,6
a painting of a person in the Cubism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Cubism,7
a painting of a person in the Early Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Early Renaissance,8
a painting of a person in the Expressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Expressionism,9
a painting of a person in the Fauvism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Fauvism,10
a painting of a person in the High Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,High Renaissance,11
a painting of a person in the Impressionism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Impressionism,12
a painting of a person in the Mannerism Late Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Mannerism Late Renaissance,13
a painting of a person in the Minimalism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Minimalism,14
a painting of a person in the Naive Art Primitivism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Naive Art Primitivism,15
a painting of a person in the New Realism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,New Realism,16
a painting of a person in the Northern Renaissance style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Northern Renaissance,17
a painting of a person in the Pointillism style,a <MEDIUM> of a <CONTENT> in the <STYLE> style,painting,person,Pointillism,18
